ID de respuesta,Medición,Estado de respuesta,¿Cuál es su rol dentro del proyecto? (seleccione el más cercano).,¿Qué tan probable es que recomiende los productos y servicios de ScaffCo a un colega o amigo?,¿Cuál es la principal razón para la nota anterior?,Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Amabilidad en la atención comercial],Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Efectividad en la atención comercial],Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Tiempo de respuesta en las cotizaciones solicitadas],Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Claridad de la información en cotizaciones],Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Claridad de la información en planos],"Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Calidad del despacho de los equipos (ausencia de errores de envío, estado del material)]",Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Facilidad para coordinar y realizar devolución de equipos en arriendo],Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Servicios de ScaffCo en general],Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Productos de ScaffCo en general],"Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho.[Calidad del servicio de Diseño de Proyectos]","Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho.[Calidad del servicio de Ingeniería]","Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho.[Calidad del servicio de Inducción Técnica]","Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho.[Calidad del servicio de Visita Técnica]","Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho.[Claridad del Informe de la Visita Técnica]","Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho.[Amabilidad del Equipo Técnico]",Claridad de la información de los Estados de Pago.,¿Conoce WebScaff? El servicio de Información en línea de su obra de arriendo ScaffCo.,¿Ha usado WebScaff?,Evalúe su satisfacción con WebScaff.,¿Conoce CapScaff? El servicio de Inducción virtual interactiva de armado de andamios ScaffCo.,¿Ha usado CapScaff?,Evalúe su satisfacción con CapScaff.,"De los siguientes atributos de ScaffCo, elija los 3 más importantes para Ud.",¿Qué tan fácil fue resolver sus solicitudes o problemas con ScaffCo?,Indique 3 palabras con las que identifica a la marca ScaffCo.,"Considerando el precio, servicio y productos que recibe de ScaffCo ¿Qué nota le pondría usted a ScaffCo en cuanto a esta relación precio-calidad?","¿Tiene algún comentario o sugerencia para nosotros? Indique cualquier punto que pudiera no estar cubierto en esta encuesta, recuerde que los mismos son anónimos.",¿Le gustaría recibir el newsletter de ScaffCo?,Periodo,¿En cuál de estos sectores presta servicios tu empresa?(Puedes seleccionar más de una opción si corresponde),"¿En qué región del país se encontraba el proyecto para el cual su empresa contrató productos o servicios de ScaffCo?(Si ha trabajado en más de una región, por favor indique la principal)",Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Evaluación general de la satisfacción con la atención comercial],Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Claridad en la información de planos e informes entregados],Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Manejo de cobros ante productos dañados],Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Coincidencia entre el producto solicitado y el producto recibido],Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Facilidad para coordinar y realizar devolución de equipos en arriendo],Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Evaluación general de los procesos operacionales],Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Seguridad de sus andamios],Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Disponibilidad de productos y accesorios],Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Coincidencia entre el producto solicitado y el producto recibido].1,Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Efectividad del control de calidad aplicado antes del despacho del material],"Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Calidad del despacho de los equipos (ausencia de errores de envío, estado del material)]",Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Facilidad para coordinar y realizar devolución de equipos en arriendo].1,Considerando productos y servicios en general ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Servicios de ScaffCo en general],Considerando productos y servicios en general ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Productos de ScaffCo en general],Evalúe la claridad de la información de los Estados de Pago.,¿Cuál es su rol dentro del proyecto? (Seleccione el que más se aproxime),¿En cuál de estos sectores presta servicios su empresa?(Puede seleccionar más de una opción si corresponde),"Seleccione cuando fue su última interacción con el equipo ScaffCo (Entiéndase por interacción cualquier tipo de comunicación ya sea escrita, telefónica o presencial, o cotización, servicios prestados, o cualquier otro tipo de contacto con la empresa) ",Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Amabilidad en la atención comercial],Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Efectividad en la atención comercial],Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Tiempo de respuesta en las cotizaciones solicitadas],Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Claridad de la información en cotizaciones],Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Claridad en la información de planos e informes entregados],Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Claridad en la información de los estados de pago],Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Satisfacción con la atención comercial en general],Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Calidad de productos entregados],Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Disponibilidad de productos y accesorios],Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Coincidencia entre el producto solicitado y el producto recibido],"Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Calidad del despacho de los equipos (ausencia de errores de envío, estado del material)]",Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Facilidad para coordinar y realizar devolución de equipos en arriendo],"Para cada uno de los siguientes aspectos ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Envío, presentación y claridad de informes de material dañado]","Considerando todos los aspectos antes mencionados, ¿Cuál diría usted que es su nivel de satisfacción con los servicios logísticos en general?","Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho[Calidad del servicio de Diseño de Proyectos]","Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho[Calidad del servicio de Ingeniería]","Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho[Calidad del servicio de Inducción Técnica]","Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho[Calidad del servicio de Visita Técnica]","Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho[Claridad del Informe de la Visita Técnica]","Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho[Amabilidad del Equipo Técnico]","Considerando todos los aspectos recién mencionados, ¿Cuál diría usted que es su nivel de satisfacción con los servicios de Asesoría Técnica en general?",¿Conoce WebScaff? (El servicio de información en línea de su obra de arriendo ScaffCo),¿Nos puede comentar por qué no ha usado WebScaff?(Marque todas las que correspondan),Evalúe su satisfacción con WebScaff,¿Qué le gustaría agregar o mejorar en WebScaff?,¿Conoce CapScaff? (El servicio de Inducción virtual interactiva de armado de andamios ScaffCo),Evalúe su satisfacción con CapScaff,¿Nos puede comentar por qué no ha usado CapScaff?(Marque todas las que correspondan),¿Conoce ScanScaff? (El servicio de ScaffCo para realizar levantamientos digitales de estructuras mediante nube de puntos),¿Ha usado ScanScaff?,¿Nos puede comentar por qué no ha usado ScanScaff?,Evalúe su satisfacción con ScanScaff,"¿Conoce XR App? (La aplicación de construcción digital de ScaffCo, basada en realidad aumentada)",¿Ha usado XR App?,Evalúe su satisfacción con XR App,¿Nos puede comentar por qué no ha usado XR App?(Marque todas las que correspondan),Indique 3 palabras con las que identifica a la marca ScaffCo,Considerando productos y servicios en general ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Servicios de ScaffCo en general],Considerando productos y servicios en general ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho[Productos de ScaffCo en general],"¿Tiene algún comentario o sugerencia para nosotros? Indique cualquier punto que pudiera no estar cubierto en esta encuesta, recuerde que los mismos son anónimos",¿Quiere ser contactado para profundizar en sus respuestas?
M1-0026,Medición 1,COMPLETED,Prevencionista de Riesgos,6,"La adquisición de andamios no siempre es la recomendada y los accesorios para adaptar rueda al modelo Blitz siendo que las bases regulables cuentan para esta, el valor asociado es igual o mayor a adquirir a nuevos cuerpos de andamios, lo que nos deja inutilizable los cuerpos anteriores adquiridos sin ruedas.",7,4,5,7,N/A,7,N/A,5,7,N/A,N/A,7,N/A,N/A,7,7,Sí,Sí,5,No,,,"Certificación de Calidad,Seguridad de los Andamios,Servicio técnico (Visitas e Inducciones)",4,Fácil de ensamblar,6,"Los accesorio de adaptabilidad por el crecimiento e implementación de nuevos procesos en empresa, se debería tener un valor distinto asociado en el caso ejemplo de solicitar ruedas para la adaptación del terreno de una organización; asegurando valores específicos y no cercanos a la adquisición de 2 cuerpos de andamios.",Sí,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0029,Medición 1,COMPLETED,Administrador de Obra,4,"Despues de varios años trabajando, con el mismo tipo de andamio. en esta etapa del proyecto cambiaron el diseño, y nunca funciono bien. No realizaron visitas en terreno por parte de ScaffCo",6,4,5,5,5,5,4,4,5,4,4,3,3,2,N/A,5,No,,,No,,,"Calidad del Producto,Servicio de Ingeniería,Servicio técnico (Visitas e Inducciones)",3,"Andamios, seguridad, altura",4,"Respetar visitas tecnicas, durante el proyecto. estas No se realizaron.",No,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0089,Medición 1,COMPLETED,Otros (especifique) - Socio,7,"Buen producto, gran calidad",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,N/A,Sí,Sí,N/A,Sí,No,,"Calidad del Producto,Certificación de Calidad,Seguridad de los Andamios",7,Seguridad,7,No,Sí,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0031,Medición 1,COMPLETED,Gerente de Proyecto,7,"calidad del producto y seguridad, además el aporte técnico cuando se solicita siempre están dispuesto",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,No,,,No,,,"Calidad del Producto,Certificación de Calidad,Seguridad de los Andamios",7,calidad seguridad y confiabilidad,5,,Sí,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0013,Medición 1,COMPLETED,Otros (especifique) - Superintendente Construccion,7,"Todos sus elementos son certificados. Facil Modulacion. De requerir una modulacion especial con memoria de calculo, en tiempos de respuestas razonables.",N/A,N/A,N/A,N/A,7,7,7,7,7,7,7,7,7,7,7,7,No,,,No,,,"Certificación de Calidad,Seguridad de los Andamios,Servicio de Ingeniería",7,"Seguridad, modulacion, calidad",7,,Sí,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0061,Medición 1,COMPLETED,Gerente de Proyecto,5,"El estado de los equipos al despacharse los materiales no es del todo preciso. Al recibir cometimos el error de no revisar en detalle el estado.  Por un segundo error pedimos equipo de más. Al hacer la primera devolución, devolvimos equipo que no usamos, que ni siquiera sacamos los zunchos y este equipo tuvo observaciones.  Para la recepción de los equipos, tambien estuvimos inconformes con la revisión pues el equipo que recibimos no estaba nuevo, era de al menos un segundo uso, sin embargo, el estándar con el que nos recibieron fue como si el equipo hubiera sido alquilado en perfecto estado y nos lo entregaron en un estado funcional, más no estéticamente perfecto. Los abollamientos encontrados son cuestionables y debido a la experiencia del primer párrafo, totalmente dudoso de que los equipos hayan llegado ya así.",7,7,7,6,7,2,5,6,5,7,7,7,7,7,7,6,Sí,No,,No,,,"Certificación de Calidad,Seguridad de los Andamios,Servicio técnico (Visitas e Inducciones)",6,"Versatílidad, seguridad y desafíos cumplidos. (asociados a los equipos si, para nada referente a los despachos y recepciones)",5,"Decepcionado de los despachos y las recepciones. Comprobado que se miden con diferente estándar. Un equipo que pedimos por error y que ni siquiera abrimos en campo, fue encontrado con observaciones cuando lo devolvimos. De ahi en adelante, dudamos de todo el proceso de revisión de ScaffCo.",No,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0108,Medición 1,COMPLETED,Prevencionista de Riesgos,7,,7,7,6,7,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,,,Sí,Sí,5,"Calidad del Producto,Certificación de Calidad,Servicio técnico (Visitas e Inducciones)",6,Agilidad - Amabilidad - Claridad,N/A,,No,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0114,Medición 1,PARTIAL,Oficina Técnica,6,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,No,,,No,,,"Calidad del Producto,Certificación de Calidad,Seguridad de los Andamios",,,,,,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0112,Medición 1,COMPLETED,Prevencionista de Riesgos,6,El producto cumplió con lo necesario.,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,6,N/A,6,6,6,6,N/A,No,,,No,,,"Calidad del Producto,Certificación de Calidad,Seguridad de los Andamios",N/A,Andamios  seguridad  confianza,N/A,ninguno,No,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0039,Medición 1,COMPLETED,Otros (especifique) - Empresa relacionada,7,"Calidad, eficiencia y peso",7,6,5,7,N/A,7,7,6,7,N/A,N/A,N/A,N/A,N/A,N/A,7,Sí,Sí,7,Sí,Sí,7,"Fabricación Alemana,Calidad del Producto,Seguridad de los Andamios",7,Calidad Seguridad Disponibilidad,7,,Sí,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0079,Medición 1,COMPLETED,Administrador de Obra,7,Material de andamios confiable y facil de armar,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,N/A,Sí,Sí,5,Sí,No,,"Cobertura y Stock Disponible,Capacidad Técnica para Desafíos Complejos,Servicio técnico (Visitas e Inducciones)",7,"Calidad, certificación, reducción tiempos",5,,No,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0001,Medición 1,COMPLETED,Otros (especifique) - Adquisiciones,2,"sucursal Antofagasta, muchos peros y la devolución de los mismos andamios una vez terminado el ejercicio súper demorosa. parece Fonasa pedir hora",5,5,5,5,5,4,4,5,6,6,6,6,6,5,6,5,No,,,No,,,"Calidad del Producto,Certificación de Calidad,Seguridad de los Andamios",4,casi pero quizas,6,"re-educar a la Sra. sara Rodriguez de ScaffCo Antofagasta, que la empresa no es suya y que debe ser mas cordial con los clientes de ScaffCo, el consultar no debe ser molestia, solo estamos trabajando y debemos cumplir lo ordenado, que hay familias detrás de todos los que componemos la cadena de abastecimiento, por eso no la mando a la cresta. gracias y sigan creciendo para mejor.",No,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0054,Medición 1,COMPLETED,Jefe de Bodega,7,LA CALIDAD DE LOS ANDAMIOS Y LA ASCESORIA DE PRINCIPIO A FIN DEL CONTRATO,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,Sí,Sí,7,Sí,Sí,7,"Calidad del Producto,Cobertura y Stock Disponible,Servicio técnico (Visitas e Inducciones)",7,"CALIDAD, SEGURIDAD Y COMPROMISO",6,,No,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0073,Medición 1,COMPLETED,Jefe de Terreno,6,"El servicio de apoyo en la toma de accion, en requerimientos de mayor complejidad, el stock disponible y la cercania de los puntos de bodegaje.",6,6,6,6,7,6,6,6,6,6,7,6,6,6,6,6,No,,,No,,,"Cobertura y Stock Disponible,Capacidad Técnica para Desafíos Complejos,Servicio de Ingeniería",6,Planificacion Stock Asistencia,6,,Sí,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0057,Medición 1,PARTIAL,Supervisor de Andamios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0048,Medición 1,COMPLETED,Otros (especifique) - Adquisiciones,7,Atención profesional de su personal,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Sí,Sí,7,No,,,"Calidad del Producto,Cobertura y Stock Disponible,Capacidad Técnica para Desafíos Complejos",7,"CALIDAD, SERVICIO Y PROFESIONALIDAD",7,NO,Sí,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0116,Medición 1,COMPLETED,Administrador de Obra,5,CALIDAD DEL PRODUCTO Y SERVICIO. NO CALIFICO CON MEJOR NOTÁ POR ALTO PRECIO.,7,6,5,5,6,5,4,5,5,6,5,5,6,6,6,3,No,,,No,,,"Calidad del Producto,Seguridad de los Andamios,Servicio técnico (Visitas e Inducciones)",6,"SEGURIDAD, INGENIERÍA, COSTOSO.",4,NO,No,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0049,Medición 1,COMPLETED,Otros (especifique) - Planificadora,7,"Calidad, profesionales dispuestos a responder cualquier tipo de consulta y apoyo en capacitaciones.",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,No,,,No,,,"Seguridad de los Andamios,Capacidad Técnica para Desafíos Complejos,Servicio técnico (Visitas e Inducciones)",7,Calidad Compromiso Resolutivo,7,,Sí,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0091,Medición 1,COMPLETED,Gerente de Proyecto,7,BUEN SERVICIO Y DISPONIBILIDAD,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,No,,,No,,,"Marca Reconocida en el Mercado,Capacidad Técnica para Desafíos Complejos,Servicio de Ingeniería",7,"DISPONIBILIDAD, CALIDAD, SEGURIDAD",6,,Sí,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0050,Medición 1,PARTIAL,Jefe de Terreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0088,Medición 1,COMPLETED,Administrador de Obra,7,calidad y servicio,7,7,7,5,7,6,6,7,7,7,7,7,7,7,7,6,No,,,No,,,"Seguridad de los Andamios,Capacidad Técnica para Desafíos Complejos,Servicio de Ingeniería",7,"Calidad, seguridad, servicio",6,"En general el dolor son las devoluciones y los cobros de cierre, que se realizan por materiales con ´Daños´, cuando muchas veces hay piezas muy deterioradas o con algunos daños de origen.",No,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1-0102,Medición 1,COMPLETED,Otros (especifique) - Supervisor de operaciones,7,La calidad del producto,6,5,2,3,7,3,N/A,4,6,3,5,3,1,1,5,N/A,Sí,No,,Sí,No,,"Marca Reconocida en el Mercado,Calidad del Producto,Servicio de Ingeniería",4,Calidad Alemana (marca) Variedad de productos,6,"Mayor énfasis con las pequeñas empresas, no porque arrienden pocos dejan de ser menor.",Sí,2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
