skim_type,skim_variable,n_missing,complete_rate,character.min,character.max,character.empty,character.n_unique,character.whitespace,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist
character,ID de respuesta,0,1,7,7,0,322,0,NA,NA,NA,NA,NA,NA,NA,NA
character,Medición,0,1,10,10,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
character,Estado de respuesta,0,1,7,9,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA
character,¿Cuál es su rol dentro del proyecto? (seleccione el más cercano).,194,0.5456674473067915,12,58,0,63,0,NA,NA,NA,NA,NA,NA,NA,NA
character,¿Qué tan probable es que recomiende los productos y servicios de ScaffCo a un colega o amigo?,17,0.9601873536299765,1,3,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA
character,¿Cuál es la principal razón para la nota anterior?,75,0.8243559718969555,1,826,0,343,0,NA,NA,NA,NA,NA,NA,NA,NA
character,Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Amabilidad en la atención comercial],210,0.5081967213114754,1,3,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA
character,Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Efectividad en la atención comercial],210,0.5081967213114754,1,3,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA
character,Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Tiempo de respuesta en las cotizaciones solicitadas],210,0.5081967213114754,1,3,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA
character,Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Claridad de la información en cotizaciones],210,0.5081967213114754,1,3,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA
character,Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Claridad de la información en planos],312,0.26932084309133486,1,3,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA
character,"Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Calidad del despacho de los equipos (ausencia de errores de envío, estado del material)]",312,0.26932084309133486,1,3,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA
character,Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Facilidad para coordinar y realizar devolución de equipos en arriendo],312,0.26932084309133486,1,3,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA
character,Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Servicios de ScaffCo en general],312,0.26932084309133486,1,3,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA
character,Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Productos de ScaffCo en general],312,0.26932084309133486,1,3,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA
character,"Evalúe los siguientes ítems del Servicio de Asesoría Técnica de ScaffCo, donde 1 es muy insatisfecho y 7 muy satisfecho.[Calidad del servicio de Diseño de Proyectos]",222,0.48009367681498827,1,3,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA
