nombre_original,tiene_corchete,atributo_extraido,concepto,concepto_bracket,concepto_final,nombre_limpio,pct_missing
ID de respuesta,FALSE,NA,id_respuesta,NA,id_respuesta,id_respuesta,0
Medición,FALSE,NA,medicion,NA,medicion,medicion,0
Estado de respuesta,FALSE,NA,estado_respuesta,NA,estado_respuesta,estado_respuesta,0
¿Cuál es su rol dentro del proyecto? (seleccione el más cercano).,FALSE,NA,rol_proyecto,NA,rol_proyecto,rol_proyecto,45.4
¿Qué tan probable es que recomiende los productos y servicios de ScaffCo a un colega o amigo?,FALSE,NA,recomendacion,NA,recomendacion,recomendacion,4
¿Cuál es la principal razón para la nota anterior?,FALSE,NA,razon_recomendacion,NA,razon_recomendacion,razon_recomendacion,17.6
Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Amabilidad en la atención comercial],TRUE,Amabilidad en la atención comercial,NA,amabilidad_en_la_atencion_comercial,amabilidad_en_la_atencion_comercial,amabilidad_en_la_atencion_comercial,49.2
Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Efectividad en la atención comercial],TRUE,Efectividad en la atención comercial,NA,efectividad_en_la_atencion_comercial,efectividad_en_la_atencion_comercial,efectividad_en_la_atencion_comercial,49.2
Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Tiempo de respuesta en las cotizaciones solicitadas],TRUE,Tiempo de respuesta en las cotizaciones solicitadas,NA,tiempo_de_respuesta_en_las_cotizaciones_solicitadas,tiempo_de_respuesta_en_las_cotizaciones_solicitadas,tiempo_de_respuesta_en_las_cotizaciones_solicitadas,49.2
Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Claridad de la información en cotizaciones],TRUE,Claridad de la información en cotizaciones,NA,claridad_de_la_informacion_en_cotizaciones,claridad_de_la_informacion_en_cotizaciones,claridad_de_la_informacion_en_cotizaciones,49.2
Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Claridad de la información en planos],TRUE,Claridad de la información en planos,NA,claridad_de_la_informacion_en_planos,claridad_de_la_informacion_en_planos,claridad_de_la_informacion_en_planos,73.1
"Para cada uno de los siguientes aspectos de la atención comercial ¿Cuál diría usted que es su nivel de satisfacción con cada uno de ellos? Siendo 1 muy insatisfecho y 7 muy satisfecho.[Calidad del despacho de los equipos (ausencia de errores de envío, estado del material)]",TRUE,"Calidad del despacho de los equipos (ausencia de errores de envío, estado del material)",NA,calidad_del_despacho_de_los_equipos_ausencia_de_errores_de_envio_estado_del_material,calidad_del_despacho_de_los_equipos_ausencia_de_errores_de_envio_estado_del_material,calidad_del_despacho_de_los_equipos_ausencia_de_errores_de_envio_estado_del_material,73.1
